"","Elevation","PCC","MacSlope","LitDep","DepO","DepA","pH","PctOM","P","K","Ca","Mg","B","Mn","Cu","Fe","Al","Na","S","ECEC","Pb","Ni","Cd","Cr"
"33",426,79.72,20,1.5,3.08333333333333,7.41666666666667,7.21,21.892,0.8,29,526,2532,0.5,2.4,0.05,3.2,10,14,7,23.8,0.25,1.35,0.05,0.05
"34",437,53.98,6,1.75,0.875,7.375,7.48,2.691,1.35,15,383,442,0.25,3.3,0.05,3,5,6,5,5.64,0.15,23.4,0.05,0.1
"35",425,66.2,5.5,1.625,2,10.75,7.51,14.885,1.3,41,408,1462,0.25,6.6,0.45,3,31,13,13,14.33,0.3,2.2,0.1,0.2
"36",578,77.38,19,1.5,4.5,8.625,7.01,8.424,1.15,25,466,1207,1.45,7.6,0.05,5.9,8,11,98,12.45,0.3,14.6,0.05,0.2
"37",587,80.24,12,1.83333333333333,1.58333333333333,8.33333333333333,6.45,10.153,0.85,34,1077,594,0.2,7.2,0.05,2.9,39,8,7,10.42,0.65,9.45,0.1,0.2
"38",564,79.46,28,3.28571428571429,1.92857142857143,5.42857142857143,5.83,11.791,1.35,57,2311,144,0.25,24.3,0.1,3.7,33,10,9,12.9,0.3,0.25,0.15,0
"39",492,80.5,19,2.5,2.2,8.6,6.41,16.25,0.95,41,3313,230,0.3,19.2,0.5,1.7,24,14,9,18.59,0.15,0.15,0.1,0.05
"40",532,89.34,22,2.2,1,6.8,5.67,10.244,0.95,43,1890,134,0.15,11.3,0.15,8.2,107,8,7,10.68,0.45,0.2,0.1,0.05
"41",229,85.44,20,1.6,0.3,8.2,4.74,5.694,1,59,571,64,0.15,12.3,0.2,72.1,119,10,10,3.54,1,0.45,0.1,0.15
"42",230,86.74,40,1.6875,0.8125,4.25,5.21,5.967,1,57,1199,140,0.1,17.1,0.15,19.7,71,9,7,7.31,0.7,0.8,0.15,0.05
"43",181,83.62,30,1.25,3.75,11.25,5.24,4.784,0.9,51,612,79,0.1,9.6,0.15,15.3,153,10,9,3.85,0.5,1.05,0.1,0.05
